model_id,actual_label_id,predicted_label_id,count_val
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,4
1,14,15,0
1,15,1,1
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,1
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,128
3,1,1,207895
3,1,2,85235
3,1,3,0
3,1,4,0
3,1,5,61576
3,1,6,0
3,1,7,0
3,1,8,15
3,1,9,5481
3,1,10,0
3,1,11,26363
3,1,12,1000
3,1,13,66286
3,1,14,0
3,1,15,0
3,2,1,360
3,2,2,1
3,2,3,0
3,2,4,0
3,2,5,12
3,2,6,0
3,2,7,0
3,2,8,0
3,2,9,0
3,2,10,0
3,2,11,20
3,2,12,0
3,2,13,0
3,2,14,0
3,2,15,0
3,3,1,0
3,3,2,10211
3,3,3,0
3,3,4,0
3,3,5,65
3,3,6,0
3,3,7,0
3,3,8,0
3,3,9,0
3,3,10,0
3,3,11,2
3,3,12,0
3,3,13,15324
3,3,14,0
3,3,15,0
3,4,1,0
3,4,2,1994
3,4,3,0
3,4,4,0
3,4,5,0
3,4,6,0
3,4,7,0
3,4,8,0
3,4,9,0
3,4,10,0
3,4,11,0
3,4,12,0
3,4,13,64
3,4,14,0
3,4,15,0
3,5,1,0
3,5,2,28381
3,5,3,0
3,5,4,0
3,5,5,564
3,5,6,0
3,5,7,0
3,5,8,0
3,5,9,0
3,5,10,0
3,5,11,8279
3,5,12,0
3,5,13,8959
3,5,14,0
3,5,15,0
3,6,1,0
3,6,2,893
3,6,3,0
3,6,4,0
3,6,5,46
3,6,6,0
3,6,7,0
3,6,8,0
3,6,9,0
3,6,10,0
3,6,11,24
3,6,12,0
3,6,13,137
3,6,14,0
3,6,15,0
3,7,1,0
3,7,2,678
3,7,3,0
3,7,4,0
3,7,5,14
3,7,6,0
3,7,7,0
3,7,8,0
3,7,9,0
3,7,10,0
3,7,11,1
3,7,12,0
3,7,13,466
3,7,14,0
3,7,15,0
3,8,1,574
3,8,2,0
3,8,3,0
3,8,4,0
3,8,5,1
3,8,6,0
3,8,7,0
3,8,8,787
3,8,9,0
3,8,10,0
3,8,11,225
3,8,12,0
3,8,13,0
3,8,14,0
3,8,15,0
3,9,1,1
3,9,2,0
3,9,3,0
3,9,4,0
3,9,5,0
3,9,6,0
3,9,7,0
3,9,8,0
3,9,9,0
3,9,10,0
3,9,11,0
3,9,12,0
3,9,13,0
3,9,14,0
3,9,15,0
3,10,1,1
3,10,2,6
3,10,3,0
3,10,4,0
3,10,5,0
3,10,6,0
3,10,7,0
3,10,8,0
3,10,9,0
3,10,10,0
3,10,11,0
3,10,12,0
3,10,13,0
3,10,14,0
3,10,15,0
3,11,1,31066
3,11,2,75
3,11,3,0
3,11,4,0
3,11,5,201
3,11,6,0
3,11,7,0
3,11,8,0
3,11,9,26
3,11,10,0
3,11,11,332
3,11,12,0
3,11,13,86
3,11,14,0
3,11,15,0
3,12,1,581
3,12,2,0
3,12,3,0
3,12,4,0
3,12,5,0
3,12,6,0
3,12,7,0
3,12,8,0
3,12,9,0
3,12,10,0
3,12,11,0
3,12,12,598
3,12,13,0
3,12,14,0
3,12,15,0
3,13,1,0
3,13,2,239
3,13,3,0
3,13,4,0
3,13,5,0
3,13,6,0
3,13,7,0
3,13,8,0
3,13,9,0
3,13,10,0
3,13,11,0
3,13,12,0
3,13,13,62
3,13,14,0
3,13,15,0
3,14,1,0
3,14,2,2
3,14,3,0
3,14,4,0
3,14,5,0
3,14,6,0
3,14,7,0
3,14,8,0
3,14,9,0
3,14,10,0
3,14,11,0
3,14,12,0
3,14,13,2
3,14,14,0
3,14,15,0
3,15,1,0
3,15,2,120
3,15,3,0
3,15,4,0
3,15,5,0
3,15,6,0
3,15,7,0
3,15,8,0
3,15,9,0
3,15,10,0
3,15,11,0
3,15,12,0
3,15,13,10
3,15,14,0
3,15,15,0
